origen,destino,distancia
N39,N1242,26.95
N40,N728,21.13
N40,N319,30.7
N40,N407,28.29
N40,N1380,42.94
N40,N330,40.82
N41,N414,34.27
N41,N484,30.63
N41,N1484,33.49
N41,N1020,27.46
N41,N772,46.53
N42,N993,13.38
N42,N236,20.73
N42,N72,22.31
N42,N25,25.36
N42,N1263,35.6
N43,N48,20.9
N43,N1443,22.3
N43,N412,23.88
N43,N315,27.42
N43,N735,32.72
N43,N1027,27.72
N44,N574,7.79
N44,N990,18.42
N44,N1218,18.83
N44,N812,26.39
N44,N271,30.95
N44,N1051,32.63
N45,N429,13.81
N45,N1105,26.94
N45,N1116,33.43
N45,N531,40.74
N46,N987,17.69
N46,N1232,34.02
N46,N960,40.24
N46,N327,42.47
N46,N1141,33.22
N47,N1287,7.36
N47,N254,14.78
N47,N1212,26.88
N48,N1443,5.42
N48,N175,19.22
N48,N43,20.85
N48,N315,17.8
N49,N474,5.07
N49,N499,19.57
N49,N922,37.85
N49,N99,34.99
N50,N162,21.4
N50,N1284,24.85
N50,N587,22.5
N50,N1425,34.18
N50,N992,44.41
N51,N982,10.98
N51,N652,9.84
N51,N1144,11.13
N52,N678,17.02
N52,N796,16.66
N52,N227,22.81
N52,N1127,22.15
N52,N58,37.92
N52,N1019,30.69
N53,N179,2.71
N53,N215,12.39
N53,N88,13.16
N53,N193,17.71
N53,N1333,23.64
N53,N491,36.58
N54,N684,18.82
N54,N419,17.67
N54,N861,22.48
N54,N614,33.19
N54,N1172,33.46
N55,N1248,16.77
N55,N292,22.51
N55,N93,17.08
N55,N118,23.46
N56,N633,6.99
N56,N799,12.11
N56,N895,30.31
N56,N402,26.07
N56,N923,31.24
N56,N102,36.21
N57,N643,7.94
N57,N872,9.07
N57,N593,12.13
N58,N1369,18.34
N58,N908,24.97
N58,N1201,22.03
N59,N617,16.97
N59,N1396,20.52
N59,N1478,30.17
N59,N864,28.58
N59,N881,32.58
N60,N228,16.89
N60,N61,16.93
N60,N147,26.82
N61,N228,15.27
N61,N522,18.41
N61,N60,15.77
N61,N1321,31.19
N61,N775,26.23
N62,N869,18.3
N62,N584,27.7
N62,N981,38.25
N62,N197,30.08
N63,N1025,9.89
N63,N1086,11.45
N63,N184,19.83
N63,N299,21.89
N64,N795,18.34
N64,N167,30.05
N64,N282,34.18
N64,N396,30.75
N65,N700,13.3
N65,N718,29.86
N65,N828,36.07
N65,N1394,32.2
N65,N1302,34.0
N66,N242,20.81
N66,N1052,26.54
N66,N160,31.46
N67,N1499,17.38
N67,N959,24.7
N67,N523,25.35
N68,N509,4.23
N68,N723,17.83
N68,N1159,19.0
N69,N662,2.83
N69,N1291,14.63
N69,N579,17.6
N69,N269,26.26
N69,N1336,26.84
N70,N948,11.93
N70,N1348,33.11
N70,N1139,30.42
N71,N1195,11.29
N71,N1342,16.38
N71,N823,21.69
N71,N290,19.79
N72,N1263,5.97
N72,N236,7.24
N72,N200,19.09
N72,N42,21.99
N72,N993,36.04
N72,N1175,30.36
N73,N185,8.48
N73,N979,8.91
N73,N111,15.43
N74,N1136,2.14
N74,N255,15.4
N74,N1440,22.61
N74,N1001,24.88
N74,N1427,29.25
N74,N21,31.44
N75,N377,10.31
N75,N30,13.54
N75,N451,17.32
N75,N785,19.67
N76,N635,6.14
N76,N349,34.16
N76,N813,31.49
N76,N376,36.46
N77,N482,17.09
N77,N776,19.88
N77,N874,26.86
N77,N304,23.01
N77,N1460,36.22
N77,N609,39.85
N78,N644,6.8
N78,N444,8.7
N78,N638,11.33
N78,N1265,9.42
N79,N245,9.12
N79,N1015,19.82
N79,N510,19.74
N80,N426,3.05
N80,N328,3.19
N80,N748,7.23
N80,N1105,21.99
N80,N531,27.8
N80,N429,29.22
N81,N1441,11.7
N81,N438,15.11
N81,N1029,21.65
N81,N96,32.31
N82,N209,8.49
N82,N951,20.29
N82,N1332,18.34
N82,N1017,25.65
N83,N899,3.96
N83,N1280,13.36
N83,N1283,15.23
N83,N233,20.99
N83,N678,32.51
N83,N1019,34.99
N84,N585,5.73
N84,N1463,12.84
N84,N657,15.46
N84,N1038,14.96
N85,N110,30.92
N85,N1085,34.23
N85,N703,43.04
N86,N303,23.78
N86,N1411,23.51
N86,N810,21.09
N86,N219,23.56
N87,N202,23.05
N87,N665,27.18
N87,N1477,38.43
N88,N1333,9.67
N88,N215,12.8
N88,N179,13.88
N88,N53,15.77
N88,N618,24.74
N88,N193,37.74
N89,N1125,19.83
N89,N813,27.01
N89,N1409,20.12
N89,N712,33.16
N89,N1149,31.7
N89,N915,46.18
N90,N2,8.14
N90,N186,13.43
N90,N642,16.77
N91,N1228,5.73
N91,N1445,10.1
N91,N1386,17.07
N91,N331,18.61
N92,N571,16.92
N92,N1358,20.53
N92,N602,29.8
N92,N423,33.96
N92,N1069,28.79
N92,N280,39.09
N93,N1353,4.85
N93,N1248,5.05
N93,N600,21.33
N94,N1113,3.27
N94,N1221,24.25
N94,N1397,33.1
N94,N685,31.37
N94,N443,30.86
N95,N144,2.84
N95,N580,10.59
N95,N578,19.47
N96,N438,14.96
N96,N1039,15.02
N96,N129,18.0
N96,N26,18.27
N96,N81,29.2
N96,N985,23.59
N97,N335,1.42
N97,N1097,27.83
N97,N835,22.35
N97,N1010,32.96
N97,N1035,36.85
N98,N1431,12.05
N98,N839,23.06
N98,N217,36.54
N99,N890,21.93
N99,N49,39.19
N99,N676,33.39
N99,N474,47.7
N99,N476,42.95
N99,N499,51.55
N100,N747,26.3
N100,N388,22.65
N100,N1481,29.09
N100,N1137,49.86
N101,N295,17.4
N101,N866,19.61
N101,N1193,33.09
N102,N895,15.88
N102,N448,18.91
N102,N923,29.95
N102,N1175,31.74
N103,N4,40.43
N103,N294,36.93
N103,N187,38.65
N103,N542,46.03
N103,N689,34.94
N103,N495,44.03
N104,N1482,13.04
N104,N1300,24.06
N104,N1172,45.74
N104,N1024,50.16
N105,N397,12.13
N105,N287,25.69
N105,N456,27.66
N105,N1417,26.42
N105,N950,32.88
N105,N1234,36.39
N106,N666,20.77
N106,N324,19.31
N106,N528,31.01
N106,N1168,35.84
N106,N496,41.15
N107,N362,8.8
N107,N673,15.27
N107,N1313,20.45
N107,N1137,30.29
N107,N427,37.22
N108,N185,15.27
N108,N73,21.1
N108,N863,20.22
N108,N855,23.78
N109,N352,18.58
N109,N692,21.0
N109,N1174,23.75
N109,N824,31.17
N110,N858,13.08
N110,N320,29.17
N110,N711,32.6
N110,N85,35.31
N110,N1209,46.52
N111,N312,16.64
N111,N73,21.16
N111,N979,24.47
N111,N783,30.91
N111,N185,27.9
N111,N1030,23.56
N112,N454,19.17
N112,N953,24.85
N112,N531,36.06
N113,N1023,26.14
N113,N1010,32.9
N113,N832,36.6
N113,N399,34.93
N114,N1338,11.43
N114,N1475,19.98
N114,N216,17.14
N114,N488,25.18
N115,N1090,22.26
N115,N128,27.64
N115,N1107,33.13
N116,N998,4.32
N116,N238,23.64
N116,N991,25.25
N116,N31,43.69
N117,N760,17.0
N117,N310,13.28
N117,N657,18.75
N117,N156,21.56
N117,N84,27.18
N118,N292,10.64
N118,N55,18.43
N118,N1248,26.84
N118,N1353,24.15
N118,N93,32.96
N119,N1197,9.55
N119,N367,20.89
N119,N337,30.56
N119,N755,32.61
N119,N615,37.45
N119,N865,35.15
N120,N198,12.53
N120,N1037,25.85
N120,N463,20.17
N120,N1070,19.91
N121,N896,13.9
N121,N468,19.74
N121,N736,27.47
N122,N885,9.47
N122,N211,20.18
N122,N406,22.06
N122,N926,23.57
N122,N1055,32.6
N122,N344,23.06
N123,N1185,12.47
N123,N1140,17.31
N123,N707,17.98
N123,N1252,32.74
N123,N447,33.63
N123,N634,50.37
N124,N1306,13.34
N124,N811,13.94
N124,N641,16.23
N124,N305,23.42
N124,N462,24.92
N125,N1335,14.53
N125,N1093,16.13
N125,N465,23.98
N125,N1098,25.77
N126,N962,12.85
N126,N618,14.78
N126,N1124,22.46
N126,N1333,25.6
N126,N1422,28.3
N126,N67,27.2
N127,N1313,27.22
N127,N107,46.47
N127,N1137,51.94
N127,N362,38.4
N127,N747,55.08
N127,N673,51.49
N128,N22,24.49
N128,N304,23.09
N128,N1460,23.99
N128,N115,32.86
N129,N26,3.66
N129,N1039,4.75
N129,N985,10.27
N130,N1082,15.29
N130,N396,15.37
N130,N167,22.31
N130,N643,24.04
N130,N974,31.51
N131,N544,7.03
N131,N663,10.01
N131,N1122,19.05
N131,N11,34.72
N131,N568,35.59
N132,N693,8.89
N132,N773,17.21
N132,N1200,21.2
N133,N713,28.4
N133,N401,26.52
N133,N221,34.15
N133,N1013,53.79
N134,N213,3.27
N134,N516,22.7
N134,N562,23.74
N134,N0,19.4
N134,N569,30.39
N134,N867,33.36
N135,N1344,24.19
N135,N1068,27.97
N135,N165,29.89
N136,N348,5.88
N136,N756,16.52
N136,N750,19.14
N137,N514,17.54
N137,N152,17.6
N137,N945,34.99
N137,N1237,37.88
N137,N1472,35.7
N137,N1387,34.28
N138,N1142,13.94
N138,N1350,21.82
N138,N508,23.81
N139,N1201,25.36
N139,N1028,29.79
N139,N1127,29.98
N140,N539,12.38
N140,N1190,11.92
N140,N1018,17.39
N140,N1351,24.14
N140,N570,34.71
N141,N146,3.48
N141,N229,13.16
N141,N1150,18.78
N142,N455,9.26
N142,N1438,9.45
N142,N1049,10.62
N142,N201,16.75
N142,N736,19.3
N142,N832,27.55
N143,N1017,1.23
N143,N546,11.55
N143,N291,18.83
N143,N209,16.97
N143,N82,20.71
N144,N95,2.56
N144,N580,10.76
N144,N578,17.33
N144,N668,24.42
N144,N1492,29.91
N144,N894,25.9
N145,N1258,3.72
N145,N517,25.09
N145,N587,20.97
N145,N441,29.72
N145,N364,41.43
N145,N162,36.55
N146,N141,3.07
N146,N229,18.31
N146,N1446,23.13
N147,N1022,19.45
N147,N353,15.88
N147,N1227,24.45
N147,N60,22.13
N147,N520,22.5
N147,N965,27.89
N148,N1271,15.37
N148,N1187,21.39
N148,N4,18.71
N148,N246,19.2
N148,N695,17.7
N149,N623,17.54
N149,N1119,19.96
N149,N591,22.58
N149,N490,20.6
N150,N1085,18.99
N150,N1384,25.23
N150,N679,28.84
N150,N567,38.73
N151,N361,6.88
N151,N277,26.53
N151,N14,26.94
N152,N514,3.87
N152,N137,17.27
N152,N1237,22.96
N152,N466,26.06
N152,N945,29.32
N152,N1472,31.53
N153,N1289,18.6
N153,N765,24.16
N153,N297,39.27
N153,N163,33.16
N153,N172,36.48
N154,N164,8.07
N154,N525,12.6
N154,N1133,21.2
N154,N161,26.66
N155,N1362,35.72
N155,N366,38.0
N155,N1193,37.37
N156,N1494,9.8
N156,N760,9.43
N156,N310,14.63
N156,N258,19.05
N156,N117,25.82
N156,N888,31.09
N157,N988,13.31
N157,N525,15.5
N157,N154,31.47
N157,N164,32.65
N158,N210,10.38
N158,N807,20.99
N158,N822,19.11
N158,N706,22.31
N158,N583,19.35
N159,N1355,5.3
N159,N488,24.77
N159,N1338,26.06
N159,N877,22.3
N160,N1243,11.14
N160,N560,17.02
N160,N242,29.91
N160,N66,34.23
N161,N164,21.16
N161,N1133,22.26
N161,N660,23.07
N161,N154,22.52
N162,N587,17.86
N162,N50,18.74
N162,N992,21.64
N162,N364,26.72
N162,N145,40.85
N162,N1258,48.79
N163,N794,16.92
N163,N1135,19.73
N163,N1024,21.46
N163,N1087,42.2
N163,N153,37.02
N163,N375,43.65
N164,N154,7.91
N164,N1133,12.68
N164,N525,19.57
N164,N161,16.82
N164,N157,31.7
N165,N1068,4.65
N165,N1344,7.34
N165,N469,18.32
N165,N608,27.77
N165,N135,39.46
N166,N1179,24.01
N166,N69,27.85
N166,N662,35.74
N166,N1074,31.22
N167,N396,10.38
N167,N422,15.92
N167,N130,25.86
N167,N1468,25.15
N167,N795,23.23
N167,N64,27.88
N168,N1234,13.85
N168,N1327,18.41
N168,N296,20.22
N168,N1091,27.75
N168,N1449,25.48
N169,N374,10.45
N169,N724,11.22
N169,N405,14.63
N169,N1365,25.02
N170,N333,4.41
N170,N1477,8.15
N170,N507,20.53
N170,N608,17.41
N170,N1373,31.89
N170,N87,40.27
N171,N6,5.46
N171,N989,15.31
N171,N725,24.42
N171,N1081,22.58
N172,N297,18.08
N172,N787,18.48
N172,N189,25.73
N172,N1289,23.23
N173,N178,16.51
N173,N450,33.19
N173,N746,35.65
N174,N37,12.88
N174,N972,22.05
N174,N653,23.88
N175,N1443,10.77
N175,N315,14.08
N175,N48,17.24
N175,N320,20.64
N175,N711,21.8
N175,N1209,23.11
N176,N868,9.1
N176,N1314,18.77
N176,N1026,26.8
N176,N1065,31.8
N176,N599,27.69
N177,N1272,25.55
N177,N263,24.8
N177,N1399,26.11
N177,N830,42.05
N177,N800,37.79
N177,N473,37.31
N178,N173,14.94
N178,N393,24.42
N178,N1390,33.36
N178,N1182,31.56
N179,N53,2.64
N179,N215,10.2
N179,N88,13.93
N180,N997,6.97
N180,N1393,8.99
N180,N1109,12.2
N181,N850,3.87
N181,N1312,17.05
N181,N601,21.65
N181,N1322,21.98
N181,N1143,41.42
N181,N758,41.27
N182,N762,14.12
N182,N251,16.89
N182,N647,22.86
N182,N818,23.75
N182,N1070,24.56
N182,N1075,23.88
N183,N344,23.1
N183,N1055,20.85
N183,N233,31.74
N183,N1019,34.44
N183,N1138,45.16
N184,N1462,6.99
N184,N1025,14.36
N184,N63,19.9
N184,N299,19.29
N184,N1086,31.66
N184,N726,41.29
N185,N73,11.19
N185,N855,13.24
N185,N979,11.84
N185,N108,16.39
N185,N111,24.81
N185,N863,41.61
N186,N2,7.4
N186,N90,13.35
N186,N1250,20.84
N186,N642,24.04
N186,N409,41.54
N187,N1261,9.86
N187,N771,16.93
N187,N831,25.05
N187,N744,30.17
N187,N103,36.53
N187,N718,41.67
N188,N977,24.59
N188,N1160,26.48
N188,N462,30.84
N188,N1306,27.95
N188,N124,26.61
N189,N172,23.9
N189,N854,29.25
N189,N1289,35.61
N190,N180,13.43
N190,N565,19.19
N190,N853,21.84
N190,N997,24.64
N191,N487,6.13
N191,N1430,17.35
N191,N637,21.17
N192,N602,18.13
N192,N95,25.63
N192,N144,29.57
N193,N215,17.53
N193,N53,18.91
N193,N179,19.62
N194,N1006,6.65
N194,N1155,28.86
N194,N646,33.19
N195,N222,12.73
N195,N703,19.66
N195,N437,37.99
N195,N774,37.3
N195,N624,50.18
N196,N798,11.73
N196,N1240,24.95
N196,N1220,32.9
N196,N452,32.24
N196,N1326,33.11
N196,N1265,52.87
N197,N584,16.98
N197,N981,26.84
N197,N1165,28.27
N197,N869,34.58
N198,N463,9.13
N198,N120,10.27
N198,N1037,22.7
N198,N1070,30.09
N199,N833,5.81
N199,N577,22.06
N199,N1294,27.73
N199,N1046,23.77
N199,N581,26.88
N199,N529,36.83
N200,N1263,11.88
N200,N1175,16.71
N200,N540,15.61
N200,N72,22.66
N200,N236,26.77
N201,N142,16.37
N201,N1438,14.7
N201,N1049,21.01
N201,N455,19.99
N201,N832,23.83
N201,N1023,29.65
N202,N665,15.32
N202,N87,28.01
N202,N677,36.5
N203,N959,8.59
N203,N1080,19.61
N203,N1324,21.78
N203,N523,29.8
N203,N67,32.51
N204,N977,25.89
N204,N462,34.15
N204,N24,34.08
N204,N457,30.81
N204,N1160,28.57
N204,N188,30.2
N205,N1229,12.47
N205,N471,11.4
N205,N651,15.05
N205,N664,28.11
N206,N949,11.56
N206,N667,12.11
N206,N556,14.7
N207,N318,23.75
N207,N325,34.68
N207,N33,25.65
N207,N980,36.97
N207,N519,37.09
N207,N485,42.09
N208,N685,28.91
N208,N634,41.18
N208,N5,46.88
N208,N846,49.95
N208,N1461,63.0
N209,N82,11.04
N209,N1332,17.55
N209,N143,17.48
N209,N1017,17.45
N210,N807,10.75
N210,N158,11.46
N210,N706,23.39
N210,N759,21.8
N211,N406,6.31
N211,N1204,12.53
N211,N885,16.18
N212,N448,14.88
N212,N226,23.61
N212,N102,29.15
N213,N134,3.07
N213,N516,24.88
N213,N562,28.74
N213,N0,23.35
N213,N569,30.2
N214,N1222,7.72
N214,N613,12.04
N214,N836,24.05
N214,N862,33.05
N215,N179,9.18
N215,N53,11.63
N215,N88,9.85
N215,N193,25.27
N215,N1333,24.19
N216,N789,9.53
N216,N1475,8.76
N216,N1338,13.94
N216,N114,17.77
N216,N907,20.43
N216,N1457,30.68
N217,N1352,9.65
N217,N847,16.78
N217,N1381,25.12
N217,N98,38.31
N217,N1431,32.29
N218,N446,3.16
N218,N1091,14.35
N218,N823,18.36
N218,N1195,18.44
N219,N1411,5.57
N219,N86,20.35
N219,N810,22.75
N219,N1078,29.12
N219,N303,31.55
N219,N701,31.41
N220,N713,36.6
N220,N750,37.86
N220,N756,46.53
N220,N136,43.17
N220,N1455,58.36
N221,N1484,29.5
N221,N1486,26.33
N221,N1184,35.44
N221,N1013,32.04
N222,N195,13.07
N222,N703,19.33
N222,N437,22.3
N222,N624,37.19
N222,N323,41.14
N223,N391,4.03
N223,N1095,7.1
N223,N589,16.09
N223,N761,18.28
N224,N697,4.93
N224,N373,15.5
N224,N548,19.48
N224,N1356,28.0
N224,N361,31.31
N224,N930,30.74
N225,N733,6.56
N225,N1357,19.5
N225,N1467,43.45
N225,N941,35.32
N225,N845,44.56
N225,N239,48.79
N226,N925,18.92
N226,N448,21.55
N226,N212,23.15
N226,N1365,25.13
N227,N796,4.92
N227,N678,4.26
N227,N1127,11.56
N227,N52,20.91
N227,N1280,18.98
N227,N899,28.2
N228,N522,14.17
N228,N61,16.39
N228,N60,17.68
N228,N826,26.97
N228,N520,20.43
N229,N1325,9.88
N229,N141,12.04
N229,N146,14.98
N229,N1429,27.02
N229,N1446,32.98
N230,N532,18.41
N230,N821,22.07
N230,N23,29.11
N230,N781,27.62
N230,N1319,25.77
N231,N1391,11.31
N231,N586,15.94
N231,N400,19.34
N231,N518,37.13
N231,N984,38.18
N231,N892,43.7
N232,N797,15.02
N232,N1014,16.93
N232,N1223,22.57
N233,N344,13.26
N233,N1055,10.72
N233,N1283,14.25
N233,N83,28.61
N233,N885,22.0
N233,N899,24.06
N234,N938,11.52
N234,N274,17.09
N234,N20,17.68
N234,N738,22.61
N235,N1398,6.62
N235,N947,9.0
N235,N349,17.84
N235,N1037,18.14
N235,N1070,18.27
N236,N72,10.16
N236,N1263,13.72
N236,N42,20.4
N236,N200,32.44
N236,N993,31.14
N237,N790,14.06
N237,N835,21.22
N237,N398,35.22
N237,N1092,32.59
N237,N905,34.17
N238,N991,16.58
N238,N116,24.33
N238,N863,27.35
N238,N998,27.09
N238,N31,30.87
N238,N108,33.63
N239,N32,17.22
N239,N664,23.14
N239,N1229,25.27
N239,N651,35.64
N239,N733,38.23
N240,N294,21.05
N240,N689,18.36
N240,N686,41.83
N240,N566,46.2
N241,N558,16.69
N241,N1098,19.4
N241,N1093,21.66
N241,N757,22.35
N241,N1009,27.25
N242,N1052,8.56
N242,N560,22.06
N242,N160,23.26
N242,N66,22.67
N242,N1243,26.0
N243,N1163,17.58
N243,N289,26.94
N243,N970,23.14
N243,N1359,24.63
N243,N871,31.26
N244,N1303,9.0
N244,N780,9.15
N244,N755,17.63
N244,N1434,35.91
N244,N1158,36.37
N244,N615,41.36
N245,N79,8.78
N245,N510,15.17
N245,N339,17.15
N245,N1238,18.04
N245,N1015,31.4
N246,N1187,3.17
N246,N4,11.76
N246,N148,20.63
N246,N695,26.47
N247,N1267,7.3
N247,N420,11.13
N247,N371,12.99
N247,N875,20.5
N247,N551,19.47
N247,N272,20.38
N248,N1008,16.89
N248,N568,22.86
N248,N663,22.28
N248,N544,27.15
N248,N1122,28.41
N249,N1282,10.02
N249,N389,10.88
N249,N702,22.02
N249,N766,29.17
N250,N569,12.43
N250,N0,14.04
N250,N562,17.02
N250,N506,28.31
N250,N1161,25.93
N250,N134,33.59
N251,N762,6.25
N251,N1070,11.88
N251,N182,13.2
N251,N1075,21.4
N251,N17,22.32
N251,N1037,22.62
N252,N937,22.73
N252,N1425,44.01
N252,N454,40.5
N253,N439,6.69
N253,N491,9.65
N253,N1397,25.51
N253,N443,32.73
N253,N1221,27.48
N253,N53,38.58
N254,N47,13.33
N254,N1212,21.81
N254,N1287,19.35
N254,N1239,27.61
N255,N1136,18.28
N255,N74,18.79
N255,N518,22.45
N256,N279,40.56
N256,N1450,38.33
N256,N715,50.65
N256,N417,56.77
N256,N410,44.94
N256,N308,42.85
N257,N1191,21.57
N257,N607,24.14
N257,N816,30.87
N257,N552,30.7
N257,N1249,45.47
N257,N525,37.72
N258,N1493,14.84
N258,N1360,20.89
N258,N1394,22.55
N259,N478,5.84
N259,N1061,10.46
N259,N778,13.94
N259,N1060,14.79
N260,N973,39.01
N260,N12,53.63
N260,N336,47.95
N260,N1469,37.82
N260,N843,53.39
N261,N691,8.63
N261,N538,10.98
N261,N806,17.06
N262,N806,14.3
N262,N538,14.39
N262,N1053,16.94
N262,N492,23.42
N262,N261,25.51
N263,N1272,8.03
N263,N1399,13.99
N263,N830,25.17
N263,N1485,28.68
N264,N1213,16.8
N264,N329,29.2
N264,N171,38.39
N264,N791,49.17
N264,N6,42.65
N264,N1171,54.38
N265,N1000,16.04
N265,N500,27.05
N265,N870,30.15
N265,N694,34.59
N266,N555,14.62
N266,N407,19.38
N266,N838,24.21
N266,N1262,32.31
N266,N1128,43.04
N267,N424,22.94
N267,N453,23.37
N267,N836,30.7
N267,N1053,33.34
N267,N1331,37.52
N268,N575,12.99
N268,N1452,18.15
N268,N751,27.67
N268,N1423,28.75
N268,N1207,30.58
N268,N814,34.93
N269,N579,5.95
N269,N1336,8.85
N269,N1291,15.98
N269,N1288,23.82
N269,N69,19.29
N270,N1045,2.56
N270,N1214,4.16
N270,N1413,17.63
N271,N596,9.1
N271,N990,10.8
N271,N1110,22.2
N271,N1218,23.42
N271,N44,26.01
N271,N1412,36.0
N272,N1479,9.89
N272,N875,23.37
N272,N1279,24.45
N273,N1099,3.27
N273,N1470,17.19
N273,N843,16.18
N274,N738,14.02
N274,N234,16.29
N274,N464,18.42
N274,N902,25.81
N274,N873,25.22
N274,N938,28.67
N275,N1208,15.16
N275,N302,16.54
N275,N1236,21.05
N275,N1108,18.57
N275,N1058,23.34
N276,N659,1.56
N276,N1224,12.72
N276,N1159,15.55
N276,N1341,27.81
N276,N509,29.71
N276,N547,37.5
N277,N14,4.77
N277,N624,17.07
N277,N1199,18.15
N277,N151,25.47
N277,N19,27.81
N277,N18,26.84
N278,N384,9.28
N278,N919,12.02
N278,N1094,18.69
N279,N715,6.76
N279,N844,14.91
N279,N1450,17.26
N279,N1007,33.61
N279,N256,44.62
N280,N1168,30.65
N280,N1347,27.77
N280,N1231,32.29
N280,N571,34.91
N280,N1069,29.35
N281,N1170,6.81
N281,N1102,18.75
N281,N403,36.34
N281,N876,39.45
N282,N590,21.6
N282,N1451,24.64
N282,N64,36.23
N282,N422,29.69
N282,N1468,31.3
N283,N360,14.8
N283,N384,20.27
N283,N1034,25.95
N283,N919,20.51
N283,N1173,20.89
N284,N1329,5.28
N284,N722,16.33
N284,N598,19.7
N284,N460,30.01
N285,N1146,3.68
N285,N595,18.01
N285,N345,19.58
N285,N417,30.51
N285,N1216,25.21
N286,N1496,3.6
N286,N553,11.18
N286,N475,16.43
N286,N338,19.58
N286,N935,20.55
N286,N911,34.54
N287,N1417,12.49
N287,N456,19.14
N287,N397,17.04
N288,N921,12.65
N288,N710,29.86
N288,N827,24.32
N289,N1359,22.94
N289,N243,21.5
N289,N952,32.18
N290,N1195,10.38
N290,N392,14.57
N290,N446,21.49
N290,N218,18.31
N290,N71,23.65
N290,N1264,22.59
N291,N546,7.63
N291,N784,13.25
N291,N351,16.76
N292,N118,9.45
N292,N1248,17.48
N292,N1353,15.38
N293,N1334,10.61
N293,N1370,19.14
N293,N1253,24.7
N294,N689,3.54
N294,N240,24.43
N294,N686,35.34
N294,N744,36.43
N295,N101,13.95
N295,N1193,19.82
N295,N913,30.52
N296,N1327,12.68
