origen,destino,distancia
C0_N45,C0_N33,34.41
C0_N45,C0_N4,45.16
C0_N45,C0_N13,12.6
C0_N45,C0_N76,28.24
C0_N45,C0_N55,24.95
C0_N46,C0_N93,16.38
C0_N46,C0_N40,63.85
C0_N46,C0_N55,27.54
C0_N46,C0_N77,37.44
C0_N47,C0_N14,36.18
C0_N47,C0_N49,10.03
C0_N47,C0_N73,26.7
C0_N47,C0_N24,34.63
C0_N47,C0_N32,26.33
C0_N48,C0_N90,38.14
C0_N48,C0_N55,51.84
C0_N48,C0_N0,47.92
C0_N49,C0_N68,36.43
C0_N49,C0_N87,20.7
C0_N49,C0_N92,30.42
C0_N49,C0_N94,48.39
C0_N49,C0_N94,48.39
C0_N50,C0_N25,71.25
C0_N50,C0_N46,42.89
C0_N50,C0_N55,24.48
C0_N50,C0_N8,26.62
C0_N50,C0_N85,41.52
C0_N51,C0_N79,36.71
C0_N51,C0_N40,65.04
C0_N51,C0_N84,52.32
C0_N51,C0_N15,61.43
C0_N52,C0_N38,17.85
C0_N52,C0_N64,20.95
C0_N52,C0_N39,34.47
C0_N52,C0_N85,55.75
C0_N53,C0_N51,46.05
C0_N53,C0_N89,62.59
C0_N53,C0_N37,70.16
C0_N53,C0_N70,51.12
C0_N54,C0_N24,23.64
C0_N54,C0_N53,59.64
C0_N54,C0_N85,50.6
C0_N55,C0_N86,15.16
C0_N55,C0_N95,47.06
C0_N55,C0_N22,21.76
C0_N55,C0_N78,15.04
C0_N56,C0_N38,51.86
C0_N56,C0_N51,67.97
C0_N56,C0_N70,77.95
C0_N56,C0_N0,51.47
C0_N56,C0_N38,51.86
C0_N57,C0_N26,55.57
C0_N57,C0_N55,30.52
C0_N57,C0_N74,52.52
C0_N57,C0_N77,8.03
C0_N58,C0_N41,11.68
C0_N58,C0_N59,23.47
C0_N58,C0_N56,46.62
C0_N58,C0_N56,46.62
C0_N58,C0_N86,10.14
C0_N59,C0_N65,32.54
C0_N59,C0_N60,2.74
C0_N59,C0_N94,36.42
C0_N60,C0_N84,26.12
C0_N60,C0_N10,33.84
C0_N60,C0_N36,18.55
C0_N61,C0_N84,15.12
C0_N61,C0_N81,14.23
C0_N61,C0_N79,18.28
C0_N61,C0_N42,9.28
C0_N61,C0_N11,4.53
C0_N62,C0_N86,45.16
C0_N62,C0_N39,59.24
C0_N62,C0_N28,37.79
C0_N63,C0_N18,13.24
C0_N63,C0_N3,43.02
C0_N63,C0_N5,36.51
C0_N64,C0_N60,29.37
C0_N64,C0_N78,8.56
C0_N64,C0_N98,42.92
C0_N65,C0_N58,48.85
C0_N65,C0_N53,92.36
C0_N65,C0_N80,82.65
C0_N66,C0_N24,28.46
C0_N66,C0_N91,34.86
C0_N66,C0_N89,52.34
C0_N66,C0_N49,18.01
C0_N66,C0_N63,42.18
C0_N67,C0_N31,50.15
C0_N67,C0_N18,41.23
C0_N67,C0_N83,34.38
C0_N67,C0_N88,55.45
C0_N68,C0_N96,46.26
C0_N68,C0_N98,41.63
C0_N68,C0_N13,24.79
C0_N69,C0_N28,38.87
C0_N69,C0_N22,38.56
C0_N69,C0_N89,43.97
C0_N69,C0_N66,48.72
C0_N70,C0_N6,66.53
C0_N70,C0_N71,38.87
C0_N70,C0_N31,79.98
C0_N70,C0_N15,69.52
C0_N71,C0_N17,40.16
C0_N71,C0_N59,33.82
C0_N71,C0_N85,29.33
C0_N71,C0_N67,45.25
C0_N72,C0_N76,46.61
C0_N72,C0_N40,14.22
C0_N72,C0_N96,24.49
C0_N72,C0_N56,73.82
C0_N72,C0_N78,41.78
C0_N73,C0_N64,13.43
C0_N73,C0_N54,24.56
C0_N73,C0_N70,29.9
C0_N73,C0_N57,21.17
C0_N73,C0_N20,2.76
C0_N74,C0_N60,37.41
C0_N74,C0_N57,52.52
C0_N74,C0_N33,40.09
C0_N74,C0_N96,74.57
C0_N74,C0_N31,33.3
C0_N75,C0_N35,40.88
C0_N75,C0_N98,66.5
C0_N75,C0_N99,71.88
C0_N75,C0_N66,44.89
C0_N75,C0_N62,70.18
C0_N76,C0_N30,44.78
C0_N76,C0_N35,19.02
C0_N76,C0_N56,42.05
C0_N76,C0_N9,40.71
C0_N76,C0_N91,22.12
C0_N77,C0_N30,40.57
C0_N77,C0_N34,33.95
C0_N77,C0_N42,48.18
C0_N77,C0_N40,53.13
C0_N78,C0_N10,7.06
C0_N78,C0_N17,40.38
C0_N78,C0_N19,13.28
C0_N78,C0_N29,33.22
C0_N78,C0_N49,35.56
C0_N79,C0_N19,33.13
C0_N79,C0_N90,27.47
C0_N79,C0_N27,21.56
C0_N79,C0_N8,31.58
C0_N79,C0_N53,74.16
C0_N80,C0_N42,49.29
C0_N80,C0_N69,52.42
C0_N80,C0_N59,71.86
C0_N80,C0_N53,60.35
C0_N81,C0_N26,29.81
C0_N81,C0_N53,50.67
C0_N81,C0_N49,34.11
C0_N82,C0_N89,67.09
C0_N82,C0_N2,36.09
C0_N82,C0_N97,34.49
C0_N82,C0_N73,18.63
C0_N82,C0_N48,57.24
C0_N83,C0_N0,5.59
C0_N83,C0_N45,27.13
C0_N83,C0_N38,6.39
C0_N83,C0_N96,42.7
C0_N84,C0_N53,76.13
C0_N84,C0_N68,26.06
C0_N84,C0_N95,63.11
C0_N84,C0_N94,42.45
C0_N85,C0_N77,29.56
C0_N85,C0_N28,49.4
C0_N85,C0_N62,84.77
C0_N85,C0_N28,49.4
C0_N85,C0_N34,63.51
C0_N86,C0_N62,45.16
C0_N86,C0_N3,10.69
C0_N86,C0_N49,34.55
C0_N86,C0_N43,10.27
C0_N87,C0_N86,25.61
C0_N87,C0_N51,28.73
C0_N87,C0_N92,23.86
C0_N87,C0_N21,10.06
C0_N87,C0_N59,42.19
C0_N88,C0_N79,49.26
C0_N88,C0_N68,27.4
C0_N88,C0_N3,21.86
C0_N89,C0_N75,47.4
C0_N89,C0_N72,39.47
C0_N89,C0_N84,37.8
C0_N89,C0_N3,34.22
C0_N90,C0_N82,33.93
C0_N90,C0_N54,9.84
C0_N90,C0_N17,28.45
C0_N91,C0_N23,23.55
C0_N91,C0_N6,31.85
C0_N91,C0_N33,8.9
C0_N91,C0_N48,58.89
C0_N92,C0_N27,42.6
C0_N92,C0_N58,14.7
C0_N92,C0_N41,23.24
C0_N92,C0_N43,12.35
C0_N93,C0_N35,32.04
C0_N93,C0_N96,48.92
C0_N93,C0_N53,54.4
C0_N93,C0_N32,20.88
C0_N94,C0_N60,36.83
C0_N94,C0_N2,18.22
C0_N94,C0_N95,41.48
C0_N95,C0_N6,70.07
C0_N95,C0_N44,35.65
C0_N95,C0_N28,31.48
C0_N95,C0_N83,39.74
C0_N95,C0_N8,46.47
C0_N96,C0_N5,51.91
C0_N96,C0_N3,41.59
C0_N96,C0_N31,77.85
C0_N96,C0_N25,47.36
C0_N97,C0_N79,34.06
C0_N97,C0_N19,2.26
C0_N97,C0_N30,31.7
C0_N98,C0_N60,45.21
C0_N98,C0_N85,80.75
C0_N98,C0_N14,44.66
C0_N99,C0_N27,49.74
C0_N99,C0_N59,46.88
C0_N99,C0_N89,55.51
C0_N99,C0_N32,46.45
C0_N99,C0_N98,9.5
C1_N0,C1_N44,38.51
C1_N0,C1_N52,71.57
C1_N0,C1_N42,38.54
C1_N0,C1_N41,43.35
C1_N1,C1_N13,21.81
C1_N1,C1_N20,45.08
C1_N1,C1_N42,8.59
C1_N1,C1_N52,55.36
C1_N1,C1_N88,22.78
C1_N2,C1_N36,19.97
C1_N2,C1_N84,55.15
C1_N2,C1_N51,29.33
C1_N2,C1_N97,22.0
C1_N3,C1_N4,10.48
C1_N3,C1_N58,27.66
C1_N3,C1_N11,58.62
C1_N3,C1_N40,50.0
C1_N3,C1_N32,56.41
C1_N4,C1_N14,39.11
C1_N4,C1_N98,11.56
C1_N4,C1_N51,17.12
C1_N4,C1_N65,15.26
C1_N5,C1_N84,47.56
C1_N5,C1_N69,5.02
C1_N5,C1_N59,38.4
C1_N6,C1_N24,35.33
C1_N6,C1_N66,49.46
C1_N6,C1_N46,3.57
C1_N7,C1_N96,15.51
C1_N7,C1_N63,47.18
C1_N7,C1_N80,29.39
C1_N7,C1_N56,28.22
C1_N7,C1_N97,33.25
C1_N8,C1_N26,32.3
C1_N8,C1_N34,54.49
C1_N8,C1_N70,65.0
C1_N9,C1_N36,50.21
C1_N9,C1_N56,87.55
C1_N9,C1_N89,51.26
C1_N10,C1_N15,44.03
C1_N10,C1_N3,30.17
C1_N10,C1_N80,7.29
C1_N10,C1_N77,13.72
C1_N11,C1_N90,37.54
C1_N11,C1_N20,17.66
C1_N11,C1_N39,60.21
C1_N12,C1_N1,35.37
C1_N12,C1_N70,52.22
C1_N12,C1_N52,52.57
C1_N12,C1_N11,65.03
C1_N12,C1_N28,30.12
C1_N13,C1_N59,49.75
C1_N13,C1_N15,59.37
C1_N13,C1_N82,22.3
C1_N14,C1_N63,9.03
C1_N14,C1_N91,32.93
C1_N14,C1_N37,21.01
C1_N15,C1_N90,69.06
C1_N15,C1_N34,60.5
C1_N15,C1_N53,62.79
C1_N15,C1_N61,90.86
C1_N15,C1_N60,48.47
C1_N16,C1_N58,9.87
C1_N16,C1_N70,34.54
C1_N16,C1_N18,28.9
C1_N17,C1_N24,53.1
C1_N17,C1_N76,27.74
C1_N17,C1_N65,42.97
C1_N17,C1_N95,61.22
C1_N18,C1_N8,57.84
C1_N18,C1_N35,42.09
C1_N18,C1_N98,46.78
C1_N19,C1_N43,46.09
C1_N19,C1_N64,59.36
C1_N19,C1_N34,39.33
C1_N19,C1_N0,10.68
C1_N20,C1_N92,51.57
C1_N20,C1_N38,28.2
C1_N20,C1_N75,54.73
C1_N20,C1_N74,44.13
C1_N21,C1_N62,28.52
C1_N21,C1_N19,48.39
C1_N21,C1_N57,53.48
C1_N21,C1_N68,13.15
C1_N21,C1_N61,47.04
C1_N22,C1_N42,62.37
C1_N22,C1_N70,77.9
C1_N22,C1_N97,44.16
C1_N22,C1_N69,48.07
C1_N23,C1_N58,21.06
C1_N23,C1_N41,11.36
C1_N23,C1_N24,50.83
C1_N23,C1_N89,57.7
C1_N24,C1_N73,46.86
C1_N24,C1_N49,41.26
C1_N24,C1_N29,36.47
C1_N25,C1_N5,20.73
C1_N25,C1_N40,33.27
C1_N25,C1_N95,25.76
C1_N25,C1_N60,9.32
C1_N26,C1_N48,27.15
C1_N26,C1_N49,12.81
C1_N26,C1_N84,29.71
C1_N26,C1_N83,54.92
C1_N26,C1_N19,53.73
C1_N27,C1_N4,35.37
C1_N27,C1_N16,10.29
C1_N27,C1_N64,20.48
C1_N27,C1_N75,31.83
C1_N28,C1_N12,30.12
C1_N28,C1_N56,36.78
C1_N28,C1_N12,30.12
C1_N28,C1_N67,30.74
C1_N29,C1_N1,41.27
C1_N29,C1_N92,21.17
C1_N29,C1_N18,18.19
C1_N29,C1_N52,74.48
C1_N30,C1_N19,58.99
C1_N30,C1_N9,47.42
C1_N30,C1_N60,21.39
C1_N30,C1_N33,41.54
C1_N30,C1_N43,44.52
C1_N31,C1_N88,30.53
C1_N31,C1_N50,18.37
C1_N31,C1_N83,32.68
C1_N31,C1_N10,13.6
C1_N31,C1_N42,27.72
C1_N32,C1_N68,26.31
C1_N32,C1_N48,41.54
C1_N32,C1_N40,9.96
C1_N32,C1_N80,26.86
C1_N32,C1_N91,36.96
C1_N33,C1_N69,25.22
C1_N33,C1_N4,36.88
C1_N33,C1_N79,57.46
C1_N33,C1_N8,15.08
C1_N34,C1_N80,28.13
C1_N34,C1_N87,30.16
C1_N34,C1_N36,29.03
C1_N35,C1_N95,52.14
C1_N35,C1_N11,47.74
C1_N35,C1_N55,29.41
C1_N36,C1_N97,3.54
C1_N36,C1_N81,11.22
C1_N36,C1_N90,37.6
C1_N37,C1_N56,58.84
C1_N37,C1_N21,8.03
C1_N37,C1_N88,15.64
C1_N38,C1_N3,42.73
C1_N38,C1_N5,25.57
C1_N38,C1_N41,20.5
C1_N38,C1_N7,44.23
C1_N39,C1_N45,31.41
C1_N39,C1_N47,73.09
C1_N39,C1_N55,40.49
C1_N39,C1_N18,51.66
C1_N40,C1_N67,29.89
C1_N40,C1_N52,27.38
C1_N40,C1_N72,17.93
C1_N41,C1_N23,11.36
C1_N41,C1_N21,21.81
C1_N41,C1_N22,36.3
C1_N41,C1_N10,11.83
C1_N41,C1_N78,28.59
C1_N42,C1_N79,31.7
C1_N42,C1_N87,24.78
C1_N42,C1_N30,22.44
C1_N42,C1_N63,18.48
C1_N43,C1_N18,27.58
C1_N43,C1_N29,40.84
C1_N43,C1_N59,55.79
C1_N43,C1_N81,54.95
C1_N43,C1_N32,66.3
C1_N44,C1_N32,31.21
C1_N44,C1_N85,22.89
C1_N44,C1_N1,5.01
C1_N44,C1_N59,27.35
C1_N45,C1_N86,21.79
C1_N45,C1_N69,13.83
C1_N45,C1_N20,45.45
C1_N45,C1_N9,27.77
C1_N46,C1_N44,30.81
C1_N46,C1_N75,51.75
C1_N46,C1_N38,21.61
C1_N46,C1_N81,43.29
C1_N47,C1_N88,29.52
C1_N47,C1_N32,46.67
C1_N47,C1_N58,52.27
C1_N47,C1_N38,32.8
C1_N48,C1_N49,29.81
C1_N48,C1_N61,32.84
C1_N48,C1_N13,19.89
C1_N49,C1_N48,29.81
C1_N49,C1_N73,21.7
C1_N49,C1_N45,26.83
C1_N50,C1_N37,12.48
C1_N50,C1_N89,39.8
C1_N50,C1_N37,12.48
C1_N50,C1_N2,34.2
C1_N50,C1_N84,36.64
C1_N51,C1_N35,12.04
C1_N51,C1_N1,8.91
C1_N51,C1_N72,26.79
C1_N51,C1_N87,15.46
C1_N52,C1_N6,71.86
C1_N52,C1_N77,46.52
C1_N52,C1_N95,66.71
C1_N52,C1_N63,53.46
C1_N52,C1_N36,38.75
C1_N53,C1_N77,48.53
C1_N53,C1_N45,27.73
C1_N53,C1_N28,48.76
C1_N54,C1_N24,28.86
C1_N54,C1_N79,40.81
C1_N54,C1_N32,27.97
C1_N54,C1_N86,15.62
C1_N54,C1_N96,25.4
C1_N55,C1_N98,35.93
C1_N55,C1_N84,54.82
C1_N55,C1_N87,16.68
C1_N55,C1_N17,16.8
C1_N55,C1_N80,19.25
C1_N56,C1_N80,44.92
C1_N56,C1_N82,42.06
C1_N56,C1_N5,56.57
C1_N57,C1_N56,25.49
C1_N57,C1_N4,55.79
C1_N57,C1_N74,65.39
C1_N57,C1_N46,70.75
C1_N58,C1_N16,9.87
C1_N58,C1_N11,35.96
C1_N58,C1_N37,21.58
C1_N58,C1_N41,10.81
C1_N58,C1_N95,41.34
C1_N59,C1_N22,54.34
C1_N59,C1_N25,26.13
C1_N59,C1_N16,21.41
C1_N59,C1_N69,33.73
C1_N60,C1_N67,15.86
C1_N60,C1_N64,24.86
C1_N60,C1_N34,14.97
C1_N60,C1_N21,10.68
C1_N61,C1_N37,39.22
C1_N61,C1_N95,58.01
C1_N61,C1_N43,20.22
C1_N62,C1_N59,39.78
C1_N62,C1_N9,43.84
C1_N62,C1_N18,42.47
C1_N63,C1_N86,11.34
C1_N63,C1_N92,30.83
C1_N63,C1_N86,11.34
C1_N64,C1_N71,33.1
C1_N64,C1_N46,7.23
C1_N64,C1_N11,12.83
C1_N64,C1_N50,26.41
C1_N65,C1_N33,42.56
C1_N65,C1_N68,18.45
C1_N65,C1_N15,61.65
C1_N66,C1_N47,56.35
C1_N66,C1_N86,29.54
C1_N66,C1_N95,47.3
C1_N66,C1_N86,29.54
C1_N67,C1_N74,14.14
C1_N67,C1_N48,25.6
C1_N67,C1_N81,26.92
C1_N67,C1_N47,27.64
C1_N68,C1_N86,12.89
C1_N68,C1_N29,41.04
C1_N68,C1_N60,5.73
C1_N69,C1_N79,43.75
C1_N69,C1_N71,7.39
C1_N69,C1_N41,14.92
C1_N70,C1_N28,45.26
C1_N70,C1_N82,38.39
C1_N70,C1_N8,65.0
C1_N70,C1_N81,38.55
C1_N70,C1_N59,45.25
C1_N71,C1_N38,18.59
C1_N71,C1_N83,38.7
C1_N71,C1_N52,43.21
C1_N71,C1_N14,21.43
C1_N71,C1_N17,22.74
C1_N72,C1_N4,40.29
C1_N72,C1_N38,37.77
C1_N72,C1_N63,40.89
C1_N73,C1_N12,18.39
C1_N73,C1_N30,43.99
C1_N73,C1_N68,23.04
C1_N74,C1_N49,33.42
C1_N74,C1_N58,26.45
C1_N74,C1_N47,32.1
C1_N75,C1_N95,52.17
C1_N75,C1_N89,57.96
C1_N75,C1_N69,10.19
C1_N75,C1_N53,49.8
C1_N76,C1_N93,43.34
C1_N76,C1_N19,74.29
C1_N76,C1_N53,72.45
C1_N76,C1_N83,53.33
C1_N76,C1_N12,47.62
C1_N77,C1_N78,37.14
C1_N77,C1_N52,46.52
C1_N77,C1_N35,5.36
C1_N77,C1_N4,16.16
C1_N78,C1_N47,76.71
C1_N78,C1_N27,40.53
C1_N78,C1_N56,22.47
C1_N78,C1_N56,22.47
C1_N78,C1_N30,52.5
C1_N79,C1_N12,72.42
C1_N79,C1_N87,37.16
C1_N79,C1_N47,9.04
C1_N79,C1_N69,43.75
C1_N80,C1_N45,19.43
C1_N80,C1_N7,29.39
C1_N80,C1_N50,12.06
C1_N80,C1_N35,13.34
C1_N80,C1_N24,33.97
C1_N81,C1_N58,5.37
C1_N81,C1_N11,36.4
C1_N81,C1_N84,46.64
C1_N82,C1_N81,1.89
C1_N82,C1_N76,35.92
C1_N83,C1_N6,80.74
C1_N83,C1_N42,49.79
C1_N83,C1_N31,32.68
C1_N84,C1_N72,62.1
C1_N84,C1_N26,29.71
C1_N84,C1_N8,60.25
C1_N85,C1_N26,37.23
C1_N85,C1_N75,14.35
C1_N85,C1_N27,38.85
C1_N85,C1_N29,57.41
C1_N85,C1_N42,22.73
C1_N86,C1_N76,39.58
C1_N86,C1_N0,51.12
C1_N86,C1_N35,29.57
C1_N87,C1_N16,6.99
C1_N87,C1_N69,18.34
C1_N87,C1_N32,14.15
C1_N88,C1_N14,6.79
C1_N88,C1_N84,21.92
C1_N88,C1_N3,47.68
C1_N89,C1_N1,41.64
C1_N89,C1_N45,37.26
C1_N89,C1_N30,20.69
C1_N90,C1_N41,40.86
C1_N90,C1_N2,57.42
C1_N90,C1_N22,76.87
C1_N90,C1_N33,53.98
C1_N90,C1_N6,32.67
C1_N91,C1_N94,43.4
C1_N91,C1_N53,46.95
C1_N91,C1_N67,32.31
C1_N92,C1_N95,25.05
C1_N92,C1_N8,71.23
C1_N92,C1_N60,35.47
C1_N93,C1_N99,48.32
C1_N93,C1_N46,36.97
C1_N93,C1_N65,18.65
C1_N93,C1_N75,15.39
C1_N94,C1_N57,84.09
C1_N94,C1_N64,37.42
C1_N94,C1_N28,55.05
C1_N95,C1_N5,45.34
C1_N95,C1_N93,37.12
C1_N95,C1_N84,5.59
C1_N95,C1_N66,47.3
C1_N95,C1_N38,21.28
C1_N96,C1_N82,20.32
C1_N96,C1_N3,38.31
C1_N96,C1_N7,15.51
C1_N96,C1_N61,67.4
C1_N97,C1_N54,14.24
C1_N97,C1_N87,3.44
C1_N97,C1_N13,34.1
C1_N97,C1_N62,23.72
C1_N98,C1_N56,63.04
C1_N98,C1_N9,37.89
C1_N98,C1_N10,23.67
C1_N98,C1_N41,28.14
C1_N98,C1_N77,12.52
C1_N99,C1_N8,82.6
C1_N99,C1_N16,53.47
C1_N99,C1_N35,46.36
C2_N0,C2_N31,56.23
C2_N0,C2_N90,19.99
C2_N0,C2_N56,27.44
C2_N1,C2_N67,17.53
C2_N1,C2_N66,12.74
C2_N1,C2_N78,42.02
C2_N1,C2_N20,25.11
C2_N2,C2_N47,27.32
C2_N2,C2_N36,46.3
C2_N2,C2_N49,57.86
C2_N2,C2_N52,26.57
C2_N3,C2_N86,16.8
C2_N3,C2_N76,12.45
C2_N3,C2_N6,48.33
C2_N3,C2_N80,33.23
C2_N4,C2_N42,47.18
C2_N4,C2_N8,58.11
C2_N4,C2_N42,47.18
C2_N4,C2_N12,47.85
C2_N4,C2_N71,17.96
C2_N5,C2_N49,79.79
C2_N5,C2_N36,69.27
C2_N5,C2_N32,56.76
C2_N5,C2_N92,9.38
C2_N5,C2_N84,29.52
C2_N6,C2_N19,46.97
C2_N6,C2_N42,47.47
C2_N6,C2_N10,48.24
C2_N6,C2_N74,43.41
C2_N6,C2_N84,21.05
C2_N7,C2_N44,39.27
C2_N7,C2_N39,25.13
C2_N7,C2_N83,56.44
C2_N8,C2_N84,15.05
C2_N8,C2_N50,43.02
C2_N8,C2_N16,34.38
C2_N8,C2_N76,36.09
C2_N8,C2_N90,40.51
C2_N9,C2_N39,31.51
C2_N9,C2_N71,36.11
C2_N9,C2_N48,19.37
C2_N10,C2_N42,46.71
C2_N10,C2_N16,67.17
C2_N10,C2_N85,81.05
C2_N10,C2_N89,17.36
C2_N10,C2_N94,68.08
C2_N11,C2_N67,31.15
C2_N11,C2_N82,32.54
C2_N11,C2_N85,19.31
C2_N11,C2_N54,24.82
C2_N12,C2_N46,7.08
C2_N12,C2_N2,25.27
C2_N12,C2_N46,7.08
C2_N12,C2_N39,46.81
C2_N12,C2_N23,17.86
C2_N13,C2_N43,16.15
C2_N13,C2_N98,82.64
C2_N13,C2_N62,29.19
C2_N14,C2_N28,30.56
C2_N14,C2_N17,37.39
C2_N14,C2_N19,9.01
C2_N15,C2_N37,60.66
C2_N15,C2_N12,43.65
C2_N15,C2_N64,33.8
C2_N16,C2_N94,55.13
C2_N16,C2_N67,24.1
C2_N16,C2_N4,24.41
C2_N16,C2_N84,23.24
C2_N16,C2_N43,22.97
C2_N17,C2_N16,36.37
C2_N17,C2_N76,43.74
C2_N17,C2_N48,33.79
C2_N17,C2_N19,46.25
C2_N17,C2_N20,34.29
C2_N18,C2_N88,12.09
C2_N18,C2_N98,34.76
C2_N18,C2_N79,49.21
C2_N19,C2_N92,49.08
C2_N19,C2_N56,35.06
C2_N19,C2_N5,45.01
C2_N20,C2_N46,10.62
C2_N20,C2_N86,27.13
C2_N20,C2_N92,54.0
C2_N20,C2_N30,16.84
C2_N21,C2_N78,26.68
C2_N21,C2_N36,2.25
C2_N21,C2_N96,69.87
C2_N21,C2_N95,15.36
